"feature","color_name","background_contrast","selection_contrast","chunk_contrast"
"Code","White",13.4975036692941,11.0549411300232,15.3169680732855
"Comment","Purple",5.65720870927088,4.63345747284506,6.41980082442505
"Keyword Contants","Pink",10.9726625233892,8.98700539060668,12.4517781708058
"Keyword Functions","Green",5.51038617011653,4.51320453076923,6.25318659710078
"Number","Dull",8.80939867869721,7.21521447002469,9.99690621410329
"String","Yellow",11.8068584174989,9.67024184130459,13.3984237276441
